velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
neuv.	s.r.o.	22570047	VIP ROYAL DRIVE s.r.o.	Ostatní pozemní osobní doprava j. n.	aktivní	ano	2025	Liberec	46001	Jiří Pospíšil	49399	Liberec	2025-02-10
neuv.	s.r.o.	22554408	Pozemky Radčice s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí	aktivní	ne	2025	Liberec	46001	Petr Vrána	00;6820;68310	Liberec	2025-02-06
neuv.	s.r.o.	22529578	Technical H2CZ s.r.o.	Výroba strojů a zařízení j. n.; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba surového železa, oceli a feroslitin; Nespecializovaný velkoobchod; Obchodování s cennými papíry a komoditami na burzách; Výroba neelektrických spotřebičů převážně pro domácnost; Poskytování ubytování; Sběr odpadů, kromě nebezpečných; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Technické zkoušky a analýzy; Činnosti reklamních agentur; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2025	Liberec	46005	Gennaro Pellone; Josef Šlechta	28;251;256;241;46900;66120;27520;55;38110;471;6820;7112;77290;71209;73110;00	Liberec	2025-01-29
neuv.	s.r.o.	22528784	Optimum wines service s.r.o.	Maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Výroba pekařských a cukrářských výrobků, kromě trvanlivých; Velkoobchod	aktivní	ne	2025	Liberec	46007	Michal Kabátek	47;00;56100;10710;46	Liberec	2025-01-29
neuv.	s.r.o.	22498079	FinOp účetnictví s.r.o.	Nespecializovaný velkoobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání; Pronájem a správa vlastních nebo pronajatých nemovitostí; Činnosti reklamních agentur; Nespecializovaný maloobchod; Účetnické a auditorské činnosti; daňové poradenství; Počítačové programování, poradenství a související činnosti; Administrativní a kancelářské činnosti	aktivní	ne	2025	Liberec	46311	Petra Opočenská; Jiří Opočenský	46900;00;855;6820;73110;471;69200;620;82110	Liberec	2025-01-22
neuv.	s.r.o.	22479864	Jagatkrishna s.r.o.	Nespecializovaný maloobchod; Příprava staveniště; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Činnosti reklamních agentur; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Destilace, rektifikace a míchaní lihovin; Skladování a podpůrné činnosti pro dopravu	aktivní	ne	2025	Liberec	46001	Yam Bahadur Bohora	471;43120;56100;73110;6820;00;46900;11010;52	Liberec	2025-01-16
neuv.	s.r.o.	22464735	Felis Lynx s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Účetnické a auditorské činnosti; daňové poradenství	aktivní	ne	2025	Liberec	46005	Lysbet Michaela Marten; Lucie Košumberská	00;69200	Liberec	2025-01-14
neuv.	s.r.o.	22455027	Neuman Reality Liberec, s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2025	Liberec	46007	Josef Neuman	6820	Liberec	2025-01-10
neuv.	s.r.o.	22435727	My Holding s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2025	Liberec	46001	Nikoláos Naum; Alexios Naum	6820;00	Liberec	2025-01-07
neuv.	s.r.o.	22432850	Ideal Quality home s.r.o.	Umělecká tvorba a činnosti v oblasti scénických umění; Fotografické činnosti; Inženýrské činnosti a související technické poradenství; Silniční nákladní doprava; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Nespecializovaný velkoobchod; Poskytování ubytování; Úklidové činnosti; Činnosti reklamních agentur; Nespecializovaný maloobchod; Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Činnosti v oblasti sportu j. n.; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Specializované návrhářské činnosti; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu	aktivní	ano	2025	Liberec	46001	Jana Němcová; Tomáš Němec	90020;74200;7112;49410;77290;46900;55;81290;73110;471;43120;6820;93190;00;74100;95220	Liberec	2025-01-07
